row	word	verdicts	sweep_s	first_in_list	rc	diverged	platform	tree	wall_s
compress/bzip2	PASS	4	129	1	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	129
compress/flate	PASS	64	60	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	60
compress/gzip	PASS	15	41	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	41
compress/zlib	PASS	6	31	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	31
container/list	PASS	10	26	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26
container/ring	PASS	8	24	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	24
crypto/aes	PASS	57	47	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	47
crypto/des	PASS	55	32	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	32
crypto/ecdh	BUILD	NOMATCH	44	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	44
crypto/hkdf	PASS	3	32	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	32
crypto/internal/fips140/aes	PASS	5	29	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29
crypto/internal/fips140/ecdh	PASS	1	30	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	30
crypto/internal/fips140/edwards25519	PASS	54	325	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	325
crypto/internal/fips140/rsa	PASS	123	34	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	34
crypto/internal/fips140test	BUILD	NOMATCH	73	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	73
crypto/md5	PASS	11	34	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	34
crypto/pbkdf2	PASS	5	30	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	30
crypto/rc4	PASS	75	31	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	31
crypto/sha512	PASS	35	34	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	34
crypto/subtle	PASS	9	51	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	51
crypto/x509	PASS	518	200	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	200
database/sql	PASS	140	117	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	117
debug/elf	PASS	31	42	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	42
debug/macho	PASS	7	27	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27
debug/plan9obj	PASS	2	25	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
embed/internal/embedtest	BUILD	NOMATCH	28	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	28
encoding/base32	PASS	26	28	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	28
encoding/csv	PASS	71	27	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27
encoding/hex	PASS	12	26	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26
expvar	PASS	11	51	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	51
flag	PASS	24	36	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	36
fmt	NOVERDICT	NOMATCH	UNMEASURED	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	45
go/ast	PASS	9	42	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	42
go/ast/internal/tests	PASS	3	28	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	28
go/constant	PASS	9	29	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29
go/doc	PASS	86	44	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	44
go/printer	PASS	45	34	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	34
go/scanner	PASS	11	30	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	30
go/version	PASS	3	25	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
hash/adler32	PASS	2	27	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27
hash/crc32	PASS	10	26	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26
hash/fnv	PASS	19	26	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26
